Template A,Attribute A,Template B,Attribute B,Property A,Property B,Annotation,Notes (in case of confusion),Class A,Class B,Domain Property A, Domain Property B, Range Property A, Range Property B,C1,C2,C3a,C3b,M1,M2,M3,M4a,M4b,M5a,M5b,TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8,TB9,TB10,TB11
Taxobox,subclassis,Taxobox,klasse,dbo:class,dbo:classis,Wrong - should be the same,,,dbo:Species,dbo:MeanOfTransportation,dbo:Species,,,0.1535,0.1554,0,0,8022,1231,1247,0,0,8022,8022,0,0,0,0,0,0,0,0,0,0,0
Infobox_football_biography,managerclubs1,Infobox_voetballer,getraindeclubs,dbo:managerClub,dbo:formerTeam,,,,dbo:SoccerPlayer,dbo:Athlete,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.9507,0.8506,0,0,1258,1196,1070,0,0,1258,1258,0,0,0,0,0,1,0,0,1,0,0
Infobox_football_biography,clubs3,Infobox_voetballer,interlandteam,dbo:team,dbo:nationalTeam,,,,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.6087,0.7868,0,0,1876,1142,1476,0,0,1876,1876,0,0,0,0,0,0,0,0,1,0,0
Infobox_football_biography,nationalteam3,Infobox_voetballer,club,dbo:team,dbo:club,,,,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.1388,0.1389,0,0,8230,1142,1143,0,0,8230,8230,0,0,0,0,0,0,0,0,1,0,0
Taxobox,binomial_authority,Taxobox_vlinder,auteur,dbo:binomialAuthority,dbo:authority,,,,dbo:Insect,dbo:Species,,,,0.9484,0.2739,0,0,1183,1122,324,0,0,1183,1183,0,0,0,0,0,0,0,0,0,0,0
Infobox_football_biography,clubs8,Infobox_voetballer,huidigeclub,dbo:team,dbo:club,,,,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.1327,0.1385,0,0,8230,1092,1140,0,0,8230,8230,0,0,0,0,0,0,0,0,1,0,0
Infobox_football_biography,clubs7,Infobox_voetballer,jeugdteams,dbo:team,dbo:youthClub,,,,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.2955,0.3119,0,0,3591,1061,1120,0,0,3591,3591,0,0,0,0,0,0,0,0,1,0,0
Infobox_football_biography,nationalteam3,Infobox_voetballer,huidigeclub,dbo:team,dbo:club,,,,dbo:SoccerPlayer,,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.1277,0.129,0,0,8230,1051,1062,0,0,8230,8230,0,0,0,0,0,0,0,0,1,0,0
Infobox_album,Producer,Infobox_muziekalbum,artiest,dbo:producer,dbo:artist,,,dbo:Album,dbo:Album,dbo:Work,dbo:MusicalWork,dbo:Agent,dbo:Agent,0.3962,0.7985,0.7977,0.355,2645,1048,2112,2110,939,2645,2645,0,0,1,0,0,0,0,1,1,0,0
Infobox_football_biography,managerclubs1,Infobox_voetballer,club,dbo:managerClub,dbo:club,,,,dbo:SoccerPlayer,dbo:Athlete,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,0.6347,0.9211,0,0,1648,1046,1518,0,0,1648,1648,0,0,0,0,0,1,0,0,1,0,0
Infobox_film,language,Infobox_film,taal,dbo:language,dbo:originalLanguage,,,dbo:Film,dbo:Film,,dbo:Work,dbo:Language,dbo:Language,0.6899,0.5292,0,0,1506,1039,797,0,0,1506,1506,0,1,1,0,0,0,0,0,1,0,0
Infobox_GB_station,locale,Infobox_spoorwegstation_Verenigd_Koninkrijk,district,dbo:location,dbo:district,,,,dbo:RailwayStation,,dbo:Place,dbo:Place,dbo:PopulatedPlace,0.8492,0.9738,0.9426,0.4459,1220,1036,1188,1150,544,1220,1220,0,0,0,0,0,0,0,0,0,0,1
Infobox_GB_station,manager,Infobox_spoorwegstation_Verenigd_Koninkrijk,manager,dbo:operatedBy,dbo:director,,,,dbo:RailwayStation,,dbo:Film,,dbo:Person,0.7765,0.2265,0,0,1320,1025,299,0,0,1320,1320,0,0,0,0,0,0,0,0,0,0,0
Infobox_GB_station,borough,Infobox_spoorwegstation_Verenigd_Koninkrijk,district,dbo:location,dbo:district,,,,dbo:RailwayStation,,dbo:Place,dbo:Place,dbo:PopulatedPlace,0.8303,0.941,0.9426,0.4459,1220,1013,1148,1150,544,1220,1220,0,0,0,0,0,0,0,0,0,0,1
Infobox_settlement,subdivision_name1,Infobox_plaats_in_Madagaskar,regio,dbo:isPartOf,dbo:locatedInArea,,,,,,dbo:Place,,dbo:Place,0.992,0.9462,0,0,1004,996,950,0,0,1004,1004,0,0,0,0,0,0,0,0,0,0,0
