Template A,Attribute A,Template B,Attribute B,Property A,Property B,Annotation,Notes (in case of confusion),Class A,Class B,Domain Property A, Domain Property B, Range Property A, Range Property B,C1,C2,C3a,C3b,M1,M2,M3,M4a,M4b,M5a,M5b,TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8,TB9,TB10,TB11
Ficha_de_deportista,club,Infobox_Basketballspieler,geburtsland,dbo:team,dbo:birthPlace,,,dbo:Athlete,dbo:BasketballPlayer,,dbo:Person,dbo:SportsTeam,dbo:Place,0.0012,0.9015,0.993,0,853,1,769,847,0,853,853,,,,,,,,,,,
Ficha_de_película,fotografía,Infobox_Film,DS,dbo:cinematography,dbo:starring,,,dbo:Film,dbo:Film,dbo:Film,dbo:Work,dbo:Person,dbo:Actor,0.0085,0.932,0.8799,0.9211,824,7,768,725,759,824,824,,,,,,,,,,,
Ficha_de_escritor,lugar_nacimiento,Personendaten,STERBEORT,dbo:birthPlace,dbo:deathPlace,,,dbo:Writer,dbo:Person,dbo:Person,dbo:Person,dbo:Place,dbo:Place,0.0944,0.5211,0.8764,0.8125,1472,139,767,1290,1196,1472,1472,,,,,,,,,,,
Ficha_de_película,precedida_por,Infobox_Film,DS,dbo:previousWork,dbo:starring,,,dbo:Film,dbo:Film,dbo:Work,dbo:Work,dbo:Work,dbo:Actor,0.0012,0.9293,0.8134,0,820,1,762,667,0,820,820,,,,,,,,,,,
Ficha_de_aeronave,usuario,Infobox_Flugzeug,Hersteller,dbo:aircraftUser,dbo:manufacturer,,,dbo:Aircraft,dbo:Aircraft,dbo:Aircraft,,dbo:Organisation,dbo:Organisation,0.0012,0.9049,0.8977,0,841,1,761,755,0,841,841,,,,,,,,,,,
Ficha_de_videojuego,formato,Infobox_Computer-_und_Videospiel,Plattform,dbo:format,dbo:computingPlatform,,,dbo:VideoGame,dbo:VideoGame,,dbo:Software,,,0.0341,0.9974,0.983,0,763,26,761,750,0,763,763,,,,,,,,,,,
Ficha_de_videojuego,plataforma,Infobox_Computer-_und_Videospiel,Medien,dbo:computingPlatform,dbo:computingMedia,,,dbo:VideoGame,dbo:VideoGame,dbo:Software,dbo:Software,,,0.0278,0.9116,0.0036,0.9843,826,23,753,3,813,826,826,,,,,,,,,,,
Ficha_de_universidad,país,Infobox_Hochschule,Ort,dbo:country,dbo:locationCity,,,dbo:University,dbo:University,,dbo:Organisation,dbo:Country,dbo:City,0.5832,0.996,0,0.2557,751,438,748,0,192,751,751,,,,,,,,,,,
Ficha_de_aerolínea,sede_central,Infobox_Fluggesellschaft,Sitz,dbo:headquarter,dbo:locationCountry,,,dbo:Airline,dbo:Airline,dbo:Organisation,,dbo:PopulatedPlace,dbo:Country,0.807,0.9456,0,0,772,623,730,0,0,772,772,,,,,,,,,,,
Ficha_de_aerolínea,sede_central,Infobox_Fluggesellschaft,Sitz,dbo:headquarter,dbo:locationCity,,,dbo:Airline,dbo:Airline,dbo:Organisation,dbo:Organisation,dbo:PopulatedPlace,dbo:City,0.807,0.9456,0,0,772,623,730,0,0,772,772,,,,,,,,,,,
Ficha_de_artista_musical,estilo,Infobox_Band,Besetzung3b,dbo:genre,dbo:bandMember,,,dbo:MusicalArtist,dbo:Band,,dbo:Band,dbo:Genre,dbo:Person,0.0004,0.2867,0.4326,0.9711,2529,1,725,1094,2456,2529,2529,,,,,,,,,,,
Ficha_de_militar,lealtad,Personendaten,STERBEORT,dbo:country,dbo:deathPlace,,,dbo:MilitaryPerson,dbo:Person,,dbo:Person,dbo:Country,dbo:Place,0.0263,0.9972,0.8989,0,722,19,720,649,0,722,722,,,,,,,,,,,
Ficha_de_artista_musical,Estilo,Infobox_Band,Besetzung3b,dbo:genre,dbo:bandMember,,,dbo:MusicalArtist,dbo:Band,,dbo:Band,dbo:Genre,dbo:Person,0.0004,0.2843,0.4326,0.9711,2529,1,719,1094,2456,2529,2529,,,,,,,,,,,
Ficha_de_película,fotografía,Infobox_Film,REG,dbo:cinematography,dbo:director,,,dbo:Film,dbo:Film,dbo:Film,dbo:Film,dbo:Person,dbo:Person,0.0612,0.8752,0.8115,0.8776,817,50,715,663,717,817,817,,,,,,,,,,,
Ficha_de_militar,lugarnac,Personendaten,STERBEORT,dbo:birthPlace,dbo:deathPlace,,,dbo:MilitaryPerson,dbo:Person,dbo:Person,dbo:Person,dbo:Place,dbo:Place,0.095,0.9821,0.9077,0.8471,726,69,713,659,615,726,726,,,,,,,,,,,
Ficha_de_militar,lugarmuerte,Personendaten,GEBURTSORT,dbo:deathPlace,dbo:birthPlace,,,dbo:MilitaryPerson,dbo:Person,dbo:Person,dbo:Person,dbo:Place,dbo:Place,0.0967,0.9807,0.9351,0.8329,724,70,710,677,603,724,724,,,,,,,,,,,
Ficha_de_serie_de_televisión,cadena,Infobox_Fernsehsendung,GENRE,dbo:channel,dbo:genre,,,dbo:TelevisionShow,dbo:TelevisionShow,,,dbo:Broadcaster,dbo:Genre,0.0069,0.9712,0.3887,0.9615,728,5,707,283,700,728,728,,,,,,,,,,,
